,SEED,TOTAL_STEPS,CL0,CR0,CL1,CR1,RADIAL_VARIANCE,RADIUS
1071,1,2262,-1.0,0.6,0.8,-0.2,0.0019923266786485033,33.85089126600441
1072,1,1575,-1.0,0.6,0.8,0.0,0.001997212236262098,38.88545239063996
1073,1,1040,-1.0,0.6,0.8,0.2,0.001973534490653806,40.140087764741736
1074,1,613,-1.0,0.6,0.8,0.4,0.0019898147538717813,41.642098905073944
1075,1,591,-1.0,0.6,0.8,0.6,0.001990523915578495,42.89933045732414
1076,1,365,-1.0,0.6,0.8,0.8,0.0019760679926444074,57.71726985371396
1077,1,686,-1.0,0.6,0.8,1.0,0.0019708754219201897,38.17296724670137
1078,1,4001,-1.0,0.6,1.0,-1.0,0.7585185231198578,234.07796503816328
1079,1,4001,-1.0,0.6,1.0,-0.8,0.6224285088802963,219.43401744398642
1080,1,4001,-1.0,0.6,1.0,-0.6,0.24344762464058295,159.66737138363564
1081,1,3739,-1.0,0.6,1.0,-0.4,0.0019976177781104057,29.341369777892936
1082,1,1718,-1.0,0.6,1.0,-0.2,0.0019941901883511683,32.779548081832424
1083,1,994,-1.0,0.6,1.0,0.0,0.001977913538584154,38.53976263390481
1084,1,1069,-1.0,0.6,1.0,0.2,0.001985570401170207,38.85145797664772
1085,1,583,-1.0,0.6,1.0,0.4,0.0019533341980531877,43.117488255037
1086,1,569,-1.0,0.6,1.0,0.6,0.0019466378669602406,46.8410779323863
1087,1,496,-1.0,0.6,1.0,0.8,0.001967378410985994,42.90235149313646
