,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
106,231,-6.207390147178069,0.042058599998705315,-5.454467392185636,0.32868933857423044,0.47562088713729767,-0.13067016650601476,1.356582761993125,0.40619514354658137,-0.4059157068067134,398.0,0.4783081411994084
107,232,-2.601557336098601,0.46275424618888716,1.5532406781514685,-0.7281915747737906,0.4960679981348299,0.07148350173941526,0.8799311886544775,0.23767764019923426,0.1977483046268275,0.0,0.2635837717508026
108,233,-7.9443671086209555,-0.25040694543491115,4.559859307420289,0.0062883930670945,1.129364656440525,0.06622790559793029,0.03905284721143086,0.020281280026592047,0.44029861490636635,2525.0,0.03108795415715347
109,234,8.562231825310436,0.9741037667174977,6.351584489538613,0.9125498436647235,1.9678511332204354,-0.015953325252620953,0.6025219604249767,0.23919500411105993,-0.008582217627657828,0.0,0.3713458359029325
110,235,3.9292281976941656,-0.33559247390866864,1.3102747878736776,-0.6205443562395621,0.8463106825830112,0.13820935609325388,0.741087091906511,0.37697658509629517,0.18479095972337653,0.0,0.5758880007538284
111,237,-2.617815170492017,0.2037786058428066,-3.29701457817813,-0.44825797539321166,0.48362379055295934,0.20210898725299664,0.5121132735226027,0.35824711047635155,0.3499392446153688,171.0,0.5528101031635881
112,238,5.772975156671302,-0.2906102199748264,8.466669127539888,-0.10545686493936612,2.013970199245607,0.3650264108086068,1.0607007030001495e-05,0.03287359443413894,2.0133811347716852,604.0,0.04728967954267461
113,239,-8.009554711034244,-0.09054918591131389,-5.893495276811322,-0.18133639545283287,1.435131217884928,0.37208157681517207,1.5398465435368736,0.26712275092447463,1.157671305056514,326.0,0.2583724350503182
114,240,1.5936129156114731,-0.11817982690963658,-7.6828954019430835,0.16543736571510803,0.5671063695528786,0.07466627845597747,0.4403549207972042,0.41653540613435774,0.1558373173454665,399.0,0.4544331801877106
115,241,5.339664164560542,0.6863398343123626,8.113376237757326,-0.15934786068233797,1.7925785332176036,-0.2917748548795,3.347593792776906e-05,0.026604451845659863,-1.7892288613056175,164.0,0.0382712983394763
116,242,7.282529643537985,-0.9636864538204291,-9.824851791615002,-0.5225142516310834,1.1029678075461669,-0.13450892009301016,0.44266376425404436,0.4018889968062727,-0.3193660216706403,229.0,0.49008326008595504
117,243,-8.854430129993204,0.7686799920858207,6.18038923255188,-0.6129134178162734,1.2329871940914054,0.042070599844810506,0.5642103510287346,0.15839002487332599,0.06130127536481802,1038.0,0.141966427502135
118,245,9.396519939053633,-0.9858113383180163,-9.36903824022956,0.8146827767936133,1.693250584873286,-0.004268482915318429,0.19819486118728247,0.3260120898552985,-0.02433665769915043,11.0,0.4267638428561616
